,company,level,title,yearsofexperience,yearsatcompany,tag,gender,dmaid,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic
41406,other,other,Management Consultant,5.0,4.0,other,Male,501.0,0,1,0,0,0,0,0,0,1,0
49172,microsoft,other,Software Engineer,3.0,2.0,Full Stack,Male,819.0,0,1,0,0,0,0,0,0,0,1
56681,other,L1,Product Designer,2.0,2.0,User Experience (UX),Female,803.0,0,1,0,0,0,0,1,0,0,0
27531,microsoft,other,Product Manager,8.0,5.0,Product,Male,0.0,0,1,0,0,0,1,0,0,0,0
60939,amazon,L6,Technical Program Manager,18.0,0.0,other,Male,501.0,1,0,0,0,0,0,1,0,0,0
56098,other,other,Management Consultant,2.0,0.0,other,Male,602.0,0,1,0,0,0,0,0,0,0,1
43147,other,other,Software Engineer,0.0,0.0,Distributed Systems (Back-End),Male,807.0,1,0,0,0,0,1,0,0,0,0
53591,other,other,Business Analyst,3.0,1.0,other,Female,501.0,1,0,0,0,0,1,0,0,0,0
56073,other,other,Software Engineer,7.0,3.0,other,Male,807.0,0,0,0,1,0,0,1,0,0,0
60999,amazon,L7,Product Manager,16.0,16.0,Technical,Female,807.0,1,0,0,0,0,1,0,0,0,0
60506,other,L3,Software Engineer,12.0,5.0,API Development (Back-End),Male,0.0,0,0,0,0,1,0,0,0,0,1
45988,salesforce,other,Hardware Engineer,15.0,4.0,other,Male,819.0,1,0,0,0,0,0,0,0,0,1
55520,other,L3,Software Engineer,7.0,2.0,Full Stack,Male,501.0,1,0,0,0,0,1,0,0,0,0
26618,apple,other,Software Engineering Manager,9.0,4.0,Full Stack,Male,807.0,1,0,0,0,0,0,1,0,0,0
43275,other,other,Management Consultant,10.0,7.0,other,Female,602.0,1,0,0,0,0,0,1,0,0,0
59562,other,other,Software Engineering Manager,20.0,5.0,Data,Male,807.0,0,0,0,0,1,0,1,0,0,0
34444,other,Senior Software Engineer,Software Engineer,20.0,9.0,Full Stack,Male,504.0,1,0,0,0,0,1,0,0,0,0
37349,other,other,Solution Architect,8.0,1.0,other,Male,511.0,1,0,0,0,0,1,0,0,0,0
56310,other,other,Software Engineer,12.0,0.0,other,Female,623.0,0,1,0,0,0,0,1,0,0,0
60243,facebook,other,Software Engineer,4.0,0.0,other,Male,506.0,0,1,0,0,0,0,1,0,0,0
23872,other,Senior Software Engineer,Software Engineer,6.0,2.0,Distributed Systems (Back-End),Male,807.0,0,0,1,0,0,0,0,0,0,1
29455,other,other,Software Engineer,4.0,0.0,API Development (Back-End),Male,635.0,0,1,0,0,0,0,0,0,0,1
50752,other,L2,Software Engineer,2.0,0.0,API Development (Back-End),Male,803.0,1,0,0,0,0,0,1,0,0,0
28911,other,L2,Software Engineer,0.0,0.0,Data,Male,807.0,1,0,0,0,0,1,0,0,0,0
50971,amazon,L6,Technical Program Manager,12.0,0.0,other,Male,505.0,1,0,0,0,0,0,1,0,0,0
47202,other,other,Software Engineer,19.0,10.0,Distributed Systems (Back-End),Male,0.0,0,1,0,0,0,0,1,0,0,0
32644,ibm,other,Software Engineer,36.0,9.0,other,Male,501.0,1,0,0,0,0,0,1,0,0,0
33116,other,L4,Software Engineer,2.0,1.0,other,Female,751.0,0,1,0,0,0,0,1,0,0,0
26478,other,other,Software Engineer,3.0,3.0,other,Male,819.0,1,0,0,0,0,1,0,0,0,0
61312,other,other,Software Engineering Manager,22.0,16.0,Data,Male,807.0,0,1,0,0,0,0,1,0,0,0
37594,other,other,Software Engineer,8.0,0.0,DevOps,Male,506.0,0,1,0,0,0,1,0,0,0,0
58899,oracle,other,Software Engineer,0.0,0.0,Data,Male,819.0,0,1,0,0,0,0,0,0,1,0
42390,other,other,Data Scientist,5.0,3.0,other,Female,602.0,1,0,0,0,0,1,0,0,0,0
47628,amazon,L4,other,1.0,0.0,other,Male,819.0,0,1,0,0,0,1,0,0,0,0
34373,other,L3,Software Engineer,15.0,1.0,Distributed Systems (Back-End),Male,0.0,1,0,0,0,0,0,1,0,0,0
61785,other,L5,Product Designer,12.0,3.0,other,Male,820.0,1,0,0,0,0,0,1,0,0,0
55558,other,other,Software Engineer,10.0,3.0,Distributed Systems (Back-End),Male,0.0,0,1,0,0,0,1,0,0,0,0
27009,ibm,other,Business Analyst,14.0,13.0,other,Female,501.0,1,0,0,0,0,0,0,0,0,1
49309,other,other,Software Engineer,14.0,5.0,API Development (Back-End),Male,807.0,0,1,0,0,0,1,0,0,0,0
