,totalyearlycompensation
41406,109000
49172,155000
56681,80000
27531,201000
60939,270000
56098,112000
43147,214000
53591,97000
56073,240000
60999,250000
60506,46000
45988,344000
55520,178000
26618,640000
43275,170000
59562,206000
34444,220000
37349,143000
56310,346000
60243,251000
23872,320000
29455,154000
50752,166000
28911,168000
50971,265000
47202,130000
32644,107000
33116,95000
26478,115000
61312,500000
37594,145000
58899,218000
42390,118000
47628,107000
34373,155000
61785,262000
55558,66000
27009,170000
49309,232000
38227,247000
56767,305000
43715,176000
55397,114000
27134,280000
41899,280000
47653,434000
51684,360000
30733,328000
49376,248000
40953,337000
38110,104000
49558,172000
40741,197000
58654,143000
38239,150000
24576,219000
58229,102000
36218,128000
48182,148000
41771,440000
29228,479000
31441,175000
53838,137000
47694,140000
35827,320000
42896,112000
41650,202000
29598,210000
39709,162000
36552,202000
40406,86000
37864,158000
34762,435000
26024,100000
46934,381000
38848,138000
61496,176000
56509,628000
49564,250000
61523,219000
38134,175000
56563,243000
25138,111000
58531,198000
31635,117000
56817,166000
24870,190000
58825,184000
42686,79000
60272,76000
42113,340000
54178,50000
36795,251000
37165,133000
48576,164000
36176,42000
31314,160000
42864,143000
44245,73000
31317,187000
47091,116000
48171,137000
60931,172000
33632,43000
36789,298000
26328,789000
42272,210000
29914,157000
50159,72000
45678,35000
52870,69000
41922,194000
55293,240000
32879,56000
44283,35000
45445,200000
39712,129000
54349,201000
52138,30000
54234,141000
31293,247000
40047,290000
47516,30000
34338,237000
50136,500000
38639,272000
24511,72000
54200,101000
45883,75000
61669,130000
60928,127000
53965,210000
27136,144000
41999,205000
59026,220000
47000,70000
25662,220000
27506,230000
33697,98000
28733,243000
48915,165000
25218,113000
28466,22000
38199,90000
38006,320000
46600,23000
29230,99000
48109,143000
58455,225000
51159,198000
42271,95000
33646,195000
31071,176000
52017,45000
37924,150000
40830,115000
59578,194000
33016,330000
33290,152000
27146,68000
55187,206000
37484,142000
57415,200000
49208,227000
40141,125000
39478,925000
49953,95000
55332,200000
60974,268000
38278,220000
56593,190000
29296,163000
32553,200000
47924,157000
61435,174000
38747,173000
23673,185000
32372,225000
48625,100000
53861,265000
28164,110000
36877,361000
58070,210000
33337,340000
32046,150000
35839,220000
37955,273000
42654,163000
36473,175000
59479,150000
60495,250000
25574,200000
29285,30000
29256,350000
24143,128000
36098,172000
42525,130000
35645,200000
42279,116000
59162,360000
43432,146000
25339,115000
42982,137000
59633,24000
44346,173000
37508,130000
29337,13000
38528,265000
46703,149000
28323,200000
45905,155000
60407,48000
46098,145000
54659,150000
56029,565000
59227,380000
32735,100000
39765,223000
